INPUT:first_url	INPUT:second_url	INPUT:first_text	INPUT:second_text	GOLDEN:result
https://t.me/afishadaily/23956	https://t.me/thebell_io/20505	У Arctic Monkeys вышел седьмой альбом «The Car» – он наполнен ретро-звуком, а вокалист Алекс Тернер превращается на нем из рок-певца в крунера. Говоря о таких переменах и сравнивая группу в ранние годы и сейчас, Тернер сообщает: «Тогда мы действовали сообразно инстинкту, в том числе и в творческих решениях. В первую очередь, мы не очень умели играть на инструментах. Но если оставить это за скобками, то я думаю, что группа не особо изменилась. Мы выучили больше трюков, но до сих пор движемся инстинктивно».	Брокер «Атон» в конце октября автоматически конвертирует «валютные остатки» на счетах клиентов в рубли. Автоматической конвертации подлежат только «остатки» до $20 000. Как следует из сообщения компании, это будет сделано, чтобы клиенты не переплачивали за хранение и обмен валюты. С 31 октября «Атон» меняет тарифы: комиссия за хранение валюты «недружественных» стран (долларов, евро, фунтов и франков) повышается до 12%. Также будут изменены комиссии за конвертацию и ввод / вывод всей доступной иностранной валюты. При автоматической конвертации комиссия взиматься не будет. «Чтобы помочь клиентам избавиться от небольших валютных остатков и не переплачивать при этом комиссию за хранение и обмен валюты, 31 октября мы проведем автоматическую конвертацию валют недружественных стран в рубли», — сообщил брокер. Сообщение было опубликовано на сайте «Атона» еще 14 октября, но внимание на него только сегодня обратил Forbes.	bad
https://t.me/u_now/72238	https://t.me/truexanewsua/63400	«Вторжение Китая в Тайвань возможно уже в ближайшие месяцы», - адмирал ВМС США Майк Гилдей.	Еще одна война: Китай может вторгнуться на Тайвань в ближайшие месяцы, – сообщил адмирал ВМС США Майк Гилдей. Наша песня хороша, начинай сначала	ok
https://t.me/sotaproject/48539	https://t.me/ovdinfolive/15362	Вышедшая в антивоенный пикет к дацану в Петербурге Данара Эрендженова сообщила «Соте», что ей вменяют «дискредитацию армии» цитатой Далай-ламы о том, что «милитаризм обходится очень дорого». Напомним, после начала войны бюджет России стал дефицитным.	Задержанную в Петербурге пикетчицу Данару Эрендженову отпустили из отдела полиции с протоколом по статье о дискредитации российской армии (ч. 1 ст. 20.3.3 КоАП). Девушку защищал адвокат от ОВД-Инфо Сергей Подольский.	bad
https://t.me/rian_ru/182700	https://t.me/tass_agency/161851	В ДНР встречают освобожденных из украинского плена бойцов.	Более 230 военнослужащих из ДНР находятся в плену на территории Украины, куда они попали после начала специальной военной операции, сообщила омбудсмен республики Дарья Морозова.	bad
https://t.me/rbc_news/61165	https://t.me/tass_agency/161982	Дептранс подтвердил, что с 12 ноября 2022 года на срок около 6 месяцев будет закрыт участок «Автозаводская» — «Орехово» Замоскворецкой линии метро. На закрытом участке будут организованы бесплатные компенсационные автобусы на все время перекрытия.	"Участок Замоскворецкой линии метро Москвы от станции ""Автозаводская"" до ""Орехово"" будет закрыт с 12 ноября для строительства нового тоннеля между станциями ""Царицыно"" и ""Кантемировская"", движение поездов будет прекращено до весны следующего года, сообщили в департаменте транспорта Москвы."	ok
https://t.me/lentachold/54552	https://t.me/bbbreaking/139191	Шойгу созвонился и с британским министром обороны тоже, добавляет «Коммерсантъ». Ему он рассказал ту же историю про «грязную бомбу».	Министр обороны РФ Шойгу провел телефонные переговоры с министром обороны Франции, стороны обсудили ситуацию на Украине, которая имеет устойчивую тенденцию к дальнейшей, неконтролируемой эскалации, сообщили в Минобороны РФ. Шойгу довел до французского коллеги свои озабоченности по поводу возможных провокаций со стороны Украины с применением «грязной бомбы».	bad
https://t.me/rbc_news/61177	https://t.me/uranews/69017	Россия сможет обходить потолок цен на нефть после того, как он начнет действовать, пишет Reuters со ссылкой на экспертов и источники в отрасли и американском правительстве. По словам источника агентства в Минфине США, до 80-90% нефти из России, возможно, продолжит продаваться на уровне выше «потолка».	Bloomberg: США будут пытаться установить потолок цен на нефть из РФ на уровне 60 долларов за баррель. Уточняется, что американские официальные лица ориентируются на среднюю стоимость нефти за последние пять лет.	bad
https://t.me/redakciya_channel/12669	https://t.me/kojournal/5585	Илон Маск продолжает рассуждать о политике в своем твиттере. В этот раз он высказался о том, кто может прийти к власти в России после Владимира Путина. Ранее Bloomberg сообщил, что в Белом доме захотели проверить Маска на предмет угрозы национальной безопасности из-за его твитов об Украине.	Илон Маск оценил шутку зампреда Совбеза РФ Дмитрия Медведева в Twitter про отставку британского премьера. Накануне тот поздравил в соцсети салат-латук с победой над Лиз Трасс. Контекст: Несколько дней назад британская газета Daily Star запустила на YouTube трансляцию под названием «Может ли Трасс продержаться дольше, чем салат-латук?». Салат победил.	bad
https://t.me/SolovievLive/135421	https://t.me/kommersant/41642	"Первый вице-премьер РФ Андрей Белоусов считает необходимым системно выстроить систему расчетов, чтобы компаниям не приходилось искать банк, который мог бы провести платеж даже в валютах дружественных стран. ""Направление, где мы сильно отстаем - это все, что касается финансирования и расчетов. Я бы расчеты поставил на первое место"", - Белоусов на форуме ""Сделано в России""."	Президент Белоруссии Александр Лукашенко заявил, что на фоне предполагаемой внешней угрозы необходимо информировать людей, чтобы те принимали правильные решения. По его мнению, белорусы смогут «пройти через беду», если будут следовать указам президента.	bad
https://t.me/petrovtel/28345	https://t.me/tass_agency/162082	В Верховную Раду Украины внесен проект постановления о признании Беларуси «временно оккупированной Россией», сообщил парламентарий Гончаренко.	"Депутаты Верховной рады Украины подали в Раду проект постановления о признании Белоруссии ""временно оккупированной Россией"" и синхронизации санкций в отношении двух стран, заявил парламентарий Алексей Гончаренко. В документе также предлагается обратиться к международному сообществу с просьбой признать территорию Белоруссии ""временно оккупированной Россией"", лишить правительство белорусского президента Александра Лукашенко международной правосубъектности и исключить страну из международных организаций, в частности, ООН и МВФ."	ok
https://t.me/shot_shot/45488	https://t.me/sotaproject/48574	"Кадры эвакуации военкора Семёна Пегова после того, как он подорвался на мине ""Лепесток"" В Республиканском травматологическом центре Донецка ему успешно провели операцию. Угрозы жизни нет."	«Военкор» Семен Пегов подорвался на мине-«лепестке» в районе Донецка. В его канале утверждается, что ранение легкое, сейчас его оперируют.	bad
https://t.me/Ateobreaking/74551	https://t.me/kommersant/41637	Грузия переходит на российскую нефть. Доля нефти из России с 16% от общего объема импорта в прошлом году, превратилась уже в 63% сентября 2022 года.	Киргизский коммерческий банк «Кыргызстан» приостановил обслуживание российских карт «Мир». Аналогичное решение приняли Халык-банк, Демир-банк и Банк Азии.	bad
https://t.me/new_militarycolumnist/94561	https://t.me/new_militarycolumnist/94549	Минобороны Турции публикуют кадры боевого применения ударных вертолётов Т129 ATAK.	Снятые с беспилотника кадры штурма укрепрайона ВСУ под Донецком бойцами союзных сил.	bad
https://t.me/dwglavnoe/20463	https://t.me/petrovtel/28332	"Правопопулистка Джорджа Мелони официально стала первой женщиной-премьером Италии. Критики обвиняют ее ультраправую партию ""Братья Италии"" в симпатиях к Гитлеру, Муссолини и Путину. Но Мелони уверяет, что поддерживает Украину. Здесь наш материал о ней."	У Италии — новый премьер-министр. Джорджа Мелони принесла клятву и вступила в должность. Это первая в истории Италии женщина-премьер. Большинство министерских портфелей досталось представителям именно её партии «Братья Италии». И несмотря на ультраправые взгляды, Мелони неоднократно заявляла о своей приверженности североатлантическим и европейским ценностям: в том числе и поддержке Украины.	ok
https://t.me/lentachold/54550	https://t.me/bbbreaking/139190	Патриарх Кирилл заявил, что Россию пытаются «стереть с лица земли» из-за ее «альтернативного взгляда на мир, бога и человека». Он добавил, что для многих в мире Россия является «бельмом в глазу», сообщает ТАСС.	"Россия для многих в мире является ""бельмом в глазу"", и ее пытаются ""стереть с лица земли"", потому что страна предлагает ""альтернативный взгляд на мир, на Бога и человека"", отличный от принятого сегодня на Западе, заявил Патриарх Московский и всея Руси Кирилл после литургии в Серафимо-Дивеевском монастыре Нижегородской области. ""Некоторые считают, что настало то время, когда можно покончить с Россией, потому что это альтернативный взгляд на мир, на Бога, на человека, он не укладывается в рамки той запрограммированной системы, которая исключает Бога из жизни людей, и поэтому, конечно, Россия для многих - бельмо в глазу, и то, что сегодня происходит, - это не просто какая-то очередная военная кампания и какое-то напряжение. Создается впечатление, что многим захотелось стереть с лица земли Русь православную, но да не будет так"", сказал Патриарх."	ok
https://t.me/afishadaily/23906	https://t.me/tass_agency/161716	Wildberries, Ozon, «Яндекс.Маркет» и другие онлайн-ритейлеры попросили ФАС проверить ценовую политику HeadHunter. Авторы обращения уверены, что рекрутинговый сервис злоупотребляет доминирующим положением на рынке и неоправданно повышает цены на свои услуги.	Ассоциация компаний интернет-торговли подала жалобу в ФАС РФ на компанию HeadHunter, которая является площадкой для найма персонала, с просьбой признать злоупотребление доминирующим положением на рынке из-за роста цен на услуги.	ok
https://t.me/ru2ch_news/58690	https://t.me/nexta_live/39287	Города Луцк, Ровно и Хмельницкий обесточены — украинские СМИ.	Сообщают о взрывах в Хмельницком, Ровно, Луцке и Киевской области.	bad
https://t.me/dwglavnoe/20464	https://t.me/tass_agency/162118	"Олаф Шольц призвал весь мир помочь Украине. ""Каждый день мы видим фото ужасающих разрушений, которые сеет война России против Украины. Разрушены деревни, города, дороги, железнодорожные пути, линии электропередачи, больницы, школы, университеты"", - сказал Шольц, подчеркнув, что восстановление может занять десятилетия. ""Нам придется очень много инвестировать, чтобы все это исправить"", - напомнил канцлер ФРГ накануне конференции по восстановлению Украины."	"Канцлер ФРГ Олаф Шольц признал, что есть важные для энергоснабжения страны внешние обстоятельства, на которые власти Германии никак не могут повлиять, и заявил, что у природного газа нет будущего. ""Судя по всему тому, что на сегодняшний день нам известно, мы переживем зиму. Но есть также внешние обстоятельства, на которые мы не можем оказать влияния"", — сказал глава правительства ФРГ."	bad
https://t.me/newsholod/1749	https://t.me/rian_ru/182832	Пленный российский военный после обмена вернулся на войну. Он погиб. В украинском плену с Натаном Касаткиным из Читы записали видео, где он произносит антипутинские и проукраинские лозунги. 21 октября стало известно о его смерти.	Российские десантники полностью уничтожили 1-й механизированный батальон 28-й отдельной мехбригады украинских военных на криворожском направлении - те были укомплектованы македонскими и словенскими танками. В распоряжении РИА Новости появились уникальные кадры досмотра сожженной техники - сразу после боя. На кадрах - и уничтоженные МТЛБ и БРДМ противника.	bad
https://t.me/uranews/69016	https://t.me/sotaproject/48491	Сын олигарха Фридмана Александр Ожельский отрекся от России ради отмены санкций. Он заявил, что участвовал в проукраинских митингах в Лондоне, давно уехал из РФ, изначально был против российской спецоперации и вообще считает себя украинцем. Потому, утверждает Ожельский, санкции против него несправедливы.	22-летний сын попавшего под санкции владельца «Альфа-банка» Михаила Фридмана Александр Ожельский записал видеообращение с требованием снять с него санкции: в четверг президент Украины Владимир Зеленский подписал указ, которым наложил их, в частности, на него. Ожельский заявил, что уехал из России 24 февраля, не поддерживает войну, участвовал в протестных акциях в России и в проукраинских в Лондоне, а сейчас живет в Дубае на свои средства. По его словам, он ощущает себя украинцем, имеет родственников в этой стране и не верит, что теперь не сможет приехать к ним из-за «чертовых бюрократов». Отметим, что сам Фридман, попав под западные санкции, заявлял в марте, что «не знает, как жить дальше»: «Наверное, мне стоит начать самостоятельно убираться в доме. Хорошо, что, когда я был студентом, я жил в общежитии и делил комнату с четырьмя соседями. И все же после 35 лет это неожиданный опыт».	ok
https://t.me/moscowtimes_ru/8815	https://t.me/new_militarycolumnist/95295	Фонд под руководством Кириенко выделил миллиард на пропаганду аннексии территорий Украины. Президентский фонд культурных инициатив, координационный совет которого возглавляет первый замглавы администрации президента Сергей Кириенко, раздал еще миллиард рублей проектам, пропагандирующим войну в Украине и «интеграцию» оккупированных территорий. Фонд, который создавали год назад для «поддержки проектов в области культуры, искусства и креативных индустрий», разделил средства между 143 инициативами. Самый большой грант — 109 млн рублей — получил фестиваль «Русское лето. Zа Россию». Его организатор — близкий к Кириенко Экспертный институт социальных исследований (ЭИСИ). Он был создан сразу после прихода Кириенко в Кремль. Еще деньги получит проект «Русский Азов» за 29 млн рублей. Он обещают изменить ассоциацию с «националистическим батальоном» слова «Азов». Также крупный грант получил проект «Сыны Чечни на страже Российской Державы». На первый этап которого выделят 20 млн рублей. Проект создан по инициативе Рамзана Кадырова, чтобы возвеличить «12 чеченских воинов». Один из них — депутат Госдумы Адам Делимханов. Нынешний спецконкурс — уже четвертый за время работы фонда. За предыдущие три конкурса проекты получили 991 млн рублей, из них на пропаганду войны ушло 625 млн. В первый год работы фонда российское правительство выделило 3,5 млрд рублей на гранты. В 2022 году, как ожидается он выделит 8 млрд, в 2023 м — еще 10 млрд. Подписаться | Moscow Times.	Более 1,2 млрд рублей были собраны по линии Совета Федерации за месяц для обеспечения нужд специальной военной операции. Среди прочего были закуплены и направлены на фронт 48 беспилотных летательных аппаратов и 12 наземных станций управления. /Андрей Турчак/	bad
https://t.me/new_militarycolumnist/95179	https://t.me/radiosvoboda/30819	Британские спецслужбы пытались завербовать военного атташе при посольстве РФ в Гааге.	"Посла Нидерландов в России Хиллеса Арно Бесхоор Плуха вызвали в МИД и выразили ему протест из-за попытки завербовать российского военного атташе при посольстве РФ в Гааге. Об этом сообщает пресс-служба ведомства. Согласно заявлению МИД РФ, 20 октября к российскому военному атташе в Гааге обратился представитель службы разведки Великобритании и попытался его завербовать. ""За последние годы на территории Нидерландов в отношении российских сотрудников было совершено несколько таких провокаций со стороны иностранных спецслужб, которые, как мы видим, чувствуют себя на голландской территории как дома"", – отметили в ведомстве. Российский МИД также заявил, что в подобных инцидентах участвуют власти и правоохранительные органы Нидерландов. Согласно данным ведомства, сотрудники голландских спецслужб пытались завербовать трёх российских дипломатов, которые ранее были объявлены persona non grata. Посла Нидерландов также уведомили о том, что ""безнаказанные действия спецслужб сопровождаются провокационными медийными вбросами и кампаниями"". МИД Нидерландов эту информацию ещё не прокомментировал."	ok
https://t.me/bbcrussian/36915	https://t.me/rtvimain/58050	Россия обстреляла энергетические объекты в Днепре и Павлограде. В результате обстрела российской армией серьезно пострадала энергетическая инфраструктура в Днепре и Павлограде, сообщает глава Днепропетровской области Валентин Резниченко. По его словам, есть серьезные разрушения. Работают все службы. В понедельник утром Россия обстреляла объекты критической инфраструктуры в Киевской, Харьковской, Запорожской и Черкасской областях.	В Днепре и Павлограде серьезно повреждены объекты энергетической инфраструктуры. Об этом в телеграм-канале сообщил глава Днепропетровской ОВА Валентин Резниченко.	ok
https://t.me/sotaproject/49016	https://t.me/newsholod/1973	У мобилизованных на сборном пункте в Елани (Свердловская область) завелись вши: об этом ЕАН сообщил один из них: «Вши заедают, сил уже нет. Все ходят постоянно чешутся. Помывочных мест не хватает, так как военный городок не был рассчитан на такое большое количество людей. Иногда удается договориться с местными жителями, которые почасово сдают в аренду свои ванные. Люди объединяются в группы, скидываются и идут мыться». Депутат Госдумы Максим Иванов вначале подтвердил изданию эти сведения, но через полчаса в своем канале заявил, что это «инсинуации», для прекращения которых в учебный центр привезут отсутствующие там сейчас мобильные бани, так как сейчас баня там одна, стационарная и «не очень».	«Вши заедают, сил уже нет». В учебном центре Минобороны в Елани вспышка педикулеза. По словам мобилизованных, борьбу со вшами осложняет нехватка «помывочных мест» из-за перенаселенности центра.	ok
https://t.me/ssigny/46829	https://t.me/currenttime/18395	Заявления Польши о строительстве забора на границе с РФ — популизм: такой забор уже построен с российской стороны, заявили калининградские власти.	"Польша начала строительство забора из колючей проволоки высотой два с половиной метра на границе с Россией. ""Из-за того, что аэропорт Калининграда стал открыт для рейсов с Ближнего Востока и из Африки, я решил предпринять меры по усилению безопасности границы. Уже сегодня начнутся работы саперов по постройке временного заграждения на границе Польши и Калининградской области"", – сказал глава Минобороны страны Мариуш Блащак. По его словам, система на границе будет состоять из трех рядов ограждений. ""Мы предприняли шаги, чтобы забор был построен как можно скорее. Будет задействовано столько солдат, сколько потребуется"", – заявил чиновник."	bad
https://t.me/novaya_europe/8236	https://t.me/ovdinfolive/15655	В аэропорту Алматы задержали российскую журналистку Евгению Балтатарову. По ее словам, задержание связано с возбужденным против нее делом о «фейках» про российскую армию. «Меня арестовывают. Повезут в ИВС. У меня два дела по 207.3, их объединили», — написала Евгения. Балтатарова также опубликовала документы, согласно которым 21 июля ее объявили в межгосударственный розыск, а 22 июля суд заочно арестовал ее на два месяца.	В аэропорту Алматы силовики задержали бурятскую журналистку Евгению Балтатарову по делу о «фейках» про российскую армию из-за публикаций в ее телеграм-канале.	ok
https://t.me/SolovievLive/137647	https://t.me/rtvinews/33764	Торжественная церемония установки флагов новых субъектов РФ в Совете Федерации.	В Совете Федерации прошла торжественная церемония установки флагов четырех новых территорий — ДНР, ЛНР, Херсонской и Запорожской областей.	ok
https://t.me/fontankaspb/31750	https://t.me/Ateobreaking/75337	Петербурженка Марина Комар, летом этого года приговоренная к восьми годам колонии за финансирование терроризма, попыталась убедить суд в закрытом посёлке Власиха, что деньги отправляла в помощь дочери и внукам на бытовые нужды, а не на покупку автоматов и гранат. «Фонтанка» дольше ждала приставов на КПП, чтобы увидеть и услышать процесс, чем суд разбирался с этим делом. Подробнее — в материале Надежды Мазакиной. Фото: Надежда Мазакина/«Фонтанка.ру».	Неизвестный позвонил на мобильный телефон 20-летней девушке, жительнице столицы, и, представившись сотрудником ФСБ, сообщил, что с ее банковского счета осуществляются денежные переводы в террористические и экстремистские организации. Затем мошенник убедил девушку перевести 49 млн руб. через банкоматы на 31 банковскую карту. По ее словам, эти деньги она получила в наследство от отца. По данному эпизоду идёт следствие.	bad
https://t.me/rian_ru/183862	https://t.me/ssigny/46563	В Москве из-за непогоды временно закрыли Парк Горького.	Первый снег выпал в Москве. Видео снято в районе Ботанического сада.	bad
https://t.me/mountshow/11791	https://t.me/redakciya_channel/13021	Пригожин попросил прокуратору проверить Беглова на создание ОПГ. Заявление опубликовала пресс-служба принадлежащей «повару Путина» компании «Конкорд».	Евгений Пригожин обратился в прокуратуру с требованием проверить губернатора Санкт-Петербурга. По мнению Пригожина, проверку нужно провести «по возможному факту создания губернатором организованного преступного сообщества» в Санкт-Петербурге «с целью разграбления госбюджета и обогащения входящих в его окружение коррумпированных чиновников». Пригожин неоднократно критиковал Беглова — в частности, он обвинял его в нарушении прав сотрудников ЧВК «Вагнер». Накануне стало известно, Пригожин обратился в Генпрокуратуру с требованием ограничить работу YouTube в России и признать компанию Google нежелательной.	ok
